V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Outcome
425,106.3,0,153.5,23562.25,293,16.5,852.1,887.1,56,GA,64.3
318.8,212.5,0,155.7,24242.49,194,14.3,852.1,880.4,56,GA,66.1
401.8,94.7,0,147.4,21726.76,173,11.4,946.8,852.1,56,GA,73.7
362.6,189,0,164.9,27192.01,72,11.6,944.7,755.8,56,GLM,77.3
323.7,282.8,0,183.8,33782.44,163,10.3,942.7,659.9,56,GA,80.2
379.5,151.2,0,153.9,23685.21,200,15.9,1134.3,605,56,GLM,54.9
362.6,189,0,164.9,27192.01,302,11.6,944.7,755.8,56,GLM,77.3
286.3,200.9,0,144.7,20938.09,141,11.2,1004.6,803.7,56,GLM,72.99
362.6,189,0,164.9,27192.01,104,11.6,944.7,755.8,56,GLM,77.3
439,177,0,186,34596,163,11.1,884.9,707.9,56,GLM,71.7
389.9,189,0,145.9,21286.81,137,22,944.7,755.8,56,GA,79.4
362.6,189,0,164.9,27192.01,125,11.6,944.7,755.8,56,GA,77.3
337.9,189,0,174.9,30590.01,97,9.5,944.7,755.8,56,GLM,59.89
374,189.2,0,170.1,28934.01,159,10.1,926.1,756.7,91,GA,64.9
313.3,262.2,0,175.5,30800.25,220,8.6,1046.9,611.8,91,GLM,66.6
425,106.3,0,153.5,23562.25,151,16.5,852.1,887.1,91,GA,65.2
425,106.3,0,151.4,22921.96,239,18.6,936,803.7,91,GA,66.7
375,93.8,0,126.6,16027.56,34,23.4,852.1,992.6,91,GA,62.5
475,118.8,0,181.1,32797.21,304,8.9,852.1,781.5,91,GA,74.19
469,117.2,0,137.8,18988.84,220,32.2,852.1,840.5,91,GLM,70.7
425,106.3,0,153.5,23562.25,257,16.5,852.1,887.1,91,GA,65.2
388.6,97.1,0,157.9,24932.41,232,12.1,852.1,925.7,91,GLM,57.6
531.3,0,0,141.8,20107.24,183,28.2,852.1,893.7,91,GLM,59.2
425,106.3,0,153.5,23562.25,175,16.5,852.1,887.1,91,GLM,65.2
318.8,212.5,0,155.7,24242.49,114,14.3,852.1,,91,GLM,68.1
401.8,94.7,0,147.4,21726.76,102,11.4,946.8,852.1,91,GLM,75.5
362.6,189,0,164.9,27192.01,116,11.6,944.7,755.8,91,GA,79.3
379.5,151.2,0,153.9,23685.21,79,15.9,1134.3,605,91,GA,56.5
362.6,189,0,164.9,27192.01,72,11.6,944.7,755.8,91,GLM,79.3
286.3,200.9,0,144.7,20938.09,277,11.2,1004.6,803.7,91,GLM,76.8
362.6,189,0,164.9,27192.01,161,11.6,944.7,755.8,91,GA,79.3
439,177,0,186,34596,72,11.1,884.9,707.9,91,GA,73.3
389.9,189,0,145.9,21286.81,230,22,944.7,755.8,91,GLM,82.6
362.6,189,0,164.9,27192.01,144,11.6,944.7,755.8,91,GA,79.3
337.9,189,0,174.9,30590.01,322,9.5,944.7,755.8,91,GLM,67.8
222.4,0,96.7,189.3,35834.49,198,4.5,967.1,870.3,3,GLM,11.58
222.4,0,96.7,189.3,35834.49,101,4.5,967.1,870.3,14,GA,24.45
222.4,0,96.7,189.3,35834.49,289,4.5,967.1,870.3,28,GA,24.89
222.4,0,96.7,189.3,35834.49,116,4.5,967.1,870.3,56,GLM,29.45
222.4,0,96.7,189.3,35834.49,316,4.5,967.1,870.3,100,GLM,40.71
233.8,0,94.6,197.9,39164.41,79,4.6,947,852.2,3,GLM,10.38
233.8,0,94.6,197.9,39164.41,58,4.6,947,852.2,14,GA,22.14
233.8,0,94.6,197.9,39164.41,135,4.6,947,852.2,28,GLM,22.84
233.8,0,94.6,197.9,39164.41,212,4.6,947,852.2,56,GA,27.66
233.8,0,94.6,197.9,39164.41,190,4.6,947,852.2,100,GLM,34.56
194.7,0,100.5,165.6,27423.36,217,7.5,1006.4,905.9,3,GA,12.45
194.7,0,100.5,165.6,27423.36,257,7.5,1006.4,905.9,14,GLM,24.99
194.7,0,100.5,165.6,27423.36,115,7.5,1006.4,905.9,28,GA,25.72
194.7,0,100.5,165.6,27423.36,167,7.5,1006.4,905.9,56,GLM,33.96
194.7,0,100.5,165.6,27423.36,242,7.5,1006.4,905.9,100,GLM,37.34
190.7,0,125.4,162.1,26276.41,168,7.8,1090,804,3,GLM,15.04
190.7,0,125.4,162.1,26276.41,257,7.8,1090,804,14,GLM,21.06
190.7,0,125.4,162.1,26276.41,231,7.8,1090,804,28,GLM,26.4
190.7,0,125.4,162.1,26276.41,139,7.8,1090,804,56,GLM,35.34
190.7,0,125.4,162.1,26276.41,61,7.8,1090,804,100,GLM,40.57
212.1,0,121.6,180.3,32508.09,52,5.7,1057.6,779.3,3,GLM,12.47
212.1,0,121.6,180.3,32508.09,276,5.7,1057.6,779.3,14,GLM,20.92
212.1,0,121.6,180.3,32508.09,49,5.7,1057.6,779.3,28,GA,24.9
212.1,0,121.6,180.3,32508.09,250,5.7,1057.6,779.3,56,GLM,34.2
212.1,0,121.6,180.3,32508.09,191,5.7,1057.6,779.3,100,GLM,39.61
230,0,118.3,195.5,38220.25,120,4.6,1029.4,758.6,3,GLM,10.03
230,0,118.3,195.5,38220.25,268,4.6,1029.4,758.6,14,GLM,20.08
230,0,118.3,195.5,38220.25,187,4.6,1029.4,758.6,28,GLM,24.48
230,0,118.3,195.5,38220.25,168,4.6,1029.4,758.6,56,GLM,31.54
230,0,118.3,195.5,38220.25,134,4.6,1029.4,758.6,100,GA,35.34
190.3,0,125.2,161.9,26211.61,192,9.9,1088.1,802.6,3,GA,9.45
190.3,0,125.2,161.9,26211.61,193,9.9,1088.1,802.6,14,GA,22.72
190.3,0,125.2,161.9,26211.61,123,9.9,1088.1,802.6,28,GA,28.47
190.3,0,125.2,161.9,26211.61,314,9.9,1088.1,802.6,56,GLM,38.56
190.3,0,125.2,161.9,26211.61,100,9.9,1088.1,802.6,100,GLM,40.39
166.1,0,163.3,176.5,31152.25,42,4.5,1058.6,780.1,3,GLM,10.76
166.1,0,163.3,176.5,31152.25,247,4.5,1058.6,780.1,14,GA,25.48
166.1,0,163.3,176.5,31152.25,102,4.5,1058.6,780.1,28,GLM,21.54
166.1,0,163.3,176.5,31152.25,226,4.5,1058.6,780.1,56,GLM,28.63
166.1,0,163.3,176.5,31152.25,308,4.5,1058.6,780.1,100,GLM,33.54
168,42.1,163.8,121.8,14835.24,216,5.7,1058.7,780.1,3,GLM,7.75
168,42.1,163.8,121.8,14835.24,331,5.7,1058.7,780.1,14,GA,17.82
168,42.1,163.8,121.8,14835.24,179,5.7,1058.7,780.1,28,GA,24.24
168,42.1,163.8,121.8,14835.24,32,5.7,1058.7,780.1,,GLM,32.85
168,42.1,163.8,121.8,14835.24,141,5.7,1058.7,780.1,100,GA,39.23
213.7,98.1,24.5,181.7,33014.89,298,6.9,1065.8,785.4,3,GLM,18
213.7,98.1,24.5,181.7,33014.89,112,6.9,1065.8,785.4,14,GA,30.39
213.7,98.1,24.5,181.7,33014.89,47,6.9,1065.8,785.4,28,GLM,45.71
213.7,98.1,24.5,181.7,33014.89,172,6.9,1065.8,785.4,56,GA,50.77
213.7,98.1,24.5,181.7,33014.89,213,6.9,1065.8,785.4,100,GA,53.9
213.8,98.1,24.5,181.7,33014.89,268,6.7,1066,785.5,3,GLM,13.18
,98.1,24.5,181.7,33014.89,19,6.7,1066,785.5,14,GLM,17.84
213.8,98.1,24.5,181.7,33014.89,227,6.7,1066,785.5,28,GLM,40.23
213.8,98.1,24.5,181.7,33014.89,299,6.7,1066,785.5,56,GLM,47.13
213.8,98.1,24.5,181.7,33014.89,25,6.7,1066,785.5,100,GLM,49.97
229.7,0,118.2,195.2,38103.04,230,6.1,1028.1,757.6,3,GA,13.36
229.7,0,118.2,195.2,38103.04,48,6.1,1028.1,757.6,14,GLM,22.32
229.7,0,118.2,195.2,38103.04,211,6.1,1028.1,757.6,28,GLM,24.54
229.7,0,118.2,195.2,38103.04,76,6.1,1028.1,757.6,56,GA,31.35
229.7,0,118.2,195.2,38103.04,300,6.1,1028.1,757.6,100,GA,40.86
238.1,0,94.1,186.7,34856.89,113,7,949.9,847,3,GLM,19.93
238.1,0,94.1,186.7,34856.89,174,7,949.9,847,14,GLM,25.69
238.1,0,94.1,186.7,34856.89,240,7,949.9,847,28,GLM,30.23
238.1,0,94.1,186.7,34856.89,114,7,949.9,847,56,GA,39.59
238.1,0,94.1,186.7,34856.89,323,7,949.9,847,100,GA,44.3
250,0,95.7,187.4,35118.76,200,5.5,956.9,861.2,3,GLM,13.82
250,0,95.7,187.4,35118.76,207,5.5,956.9,861.2,14,GLM,24.92
250,0,95.7,187.4,35118.76,318,5.5,956.9,861.2,28,GLM,29.22
250,0,95.7,187.4,35118.76,118,5.5,956.9,861.2,56,GA,38.33
250,0,95.7,187.4,35118.76,101,5.5,956.9,861.2,100,GLM,42.35
212.5,0,100.4,159.3,25376.49,148,8.7,1007.8,903.6,3,GLM,13.54
212.5,0,100.4,159.3,25376.49,90,8.7,1007.8,903.6,14,GLM,26.31
212.5,0,100.4,159.3,25376.49,71,8.7,1007.8,903.6,28,GLM,31.64
212.5,0,100.4,159.3,25376.49,253,8.7,1007.8,903.6,56,GA,42.55
212.5,0,100.4,159.3,25376.49,288,8.7,1007.8,903.6,100,GLM,42.92
212.6,0,100.4,159.4,25408.36,108,10.4,1003.8,903.8,3,GLM,13.33
212.6,0,100.4,159.4,25408.36,185,10.4,1003.8,903.8,14,GLM,25.37
212.6,0,100.4,159.4,25408.36,86,10.4,1003.8,903.8,28,GLM,37.4
212.6,0,100.4,159.4,25408.36,46,10.4,1003.8,903.8,56,GA,44.4
212.6,0,100.4,159.4,25408.36,147,10.4,1003.8,903.8,100,GLM,47.74
212,0,124.8,159,25281,305,7.8,1085.4,799.5,3,GLM,19.52
212,0,124.8,159,25281,92,7.8,1085.4,799.5,14,GLM,31.35
212,0,124.8,159,25281,173,7.8,1085.4,799.5,28,GLM,38.5
212,0,124.8,159,25281,141,7.8,1085.4,799.5,56,GLM,45.08
212,0,124.8,159,25281,16,7.8,1085.4,799.5,100,GA,47.82
231.8,0,121.6,174,30276,266,6.7,1056.4,778.5,3,GLM,15.44
231.8,0,121.6,174,30276,173,6.7,1056.4,778.5,14,GA,26.77
231.8,0,121.6,174,30276,328,6.7,1056.4,778.5,28,GLM,33.73
231.8,0,121.6,174,30276,183,6.7,1056.4,778.5,56,GLM,42.7
231.8,0,121.6,174,30276,41,6.7,1056.4,778.5,100,GA,45.84
251.4,0,118.3,188.5,35532.25,30,5.8,1028.4,757.7,3,GLM,17.22
251.4,0,118.3,188.5,35532.25,164,5.8,1028.4,757.7,14,GLM,29.93
251.4,0,118.3,188.5,35532.25,271,5.8,1028.4,757.7,28,GLM,29.65
251.4,0,118.3,188.5,35532.25,238,5.8,1028.4,757.7,56,GLM,36.97
251.4,0,118.3,188.5,35532.25,278,5.8,1028.4,757.7,100,GLM,43.58
251.4,0,118.3,188.5,35532.25,62,6.4,1028.4,757.7,3,GA,13.12
251.4,0,118.3,188.5,35532.25,26,6.4,1028.4,757.7,14,GA,24.43
251.4,0,118.3,188.5,35532.25,24,6.4,1028.4,757.7,28,GLM,32.66
251.4,0,118.3,188.5,35532.25,186,6.4,1028.4,757.7,56,GLM,36.64
251.4,0,118.3,188.5,35532.25,162,6.4,1028.4,757.7,100,GA,44.21
181.4,0,167,169.6,28764.16,104,7.6,1055.6,777.8,3,GLM,13.62
181.4,0,167,169.6,28764.16,278,7.6,1055.6,777.8,14,GLM,21.6
181.4,0,167,169.6,28764.16,83,7.6,1055.6,777.8,28,GA,27.77
181.4,0,167,169.6,28764.16,29,7.6,1055.6,777.8,56,GA,35.57
181.4,0,167,169.6,28764.16,266,7.6,1055.6,777.8,100,GA,45.37
182,45.2,122,170.2,28968.04,319,8.2,1059.4,780.7,3,GLM,7.32
182,45.2,122,170.2,28968.04,211,8.2,1059.4,780.7,14,GLM,21.5
182,45.2,122,170.2,28968.04,84,8.2,1059.4,780.7,28,GLM,31.27
182,45.2,122,170.2,28968.04,254,8.2,1059.4,780.7,56,GLM,43.5
182,45.2,122,170.2,28968.04,66,8.2,1059.4,780.7,100,GA,48.67
168.9,42.2,124.3,158.3,25058.89,330,10.8,1080.8,796.2,3,GA,7.4
168.9,42.2,124.3,158.3,25058.89,44,10.8,1080.8,796.2,14,GLM,23.51
168.9,42.2,124.3,158.3,25058.89,151,10.8,1080.8,796.2,28,GLM,31.12
168.9,42.2,124.3,158.3,25058.89,219,10.8,1080.8,796.2,56,GA,39.15
168.9,42.2,124.3,158.3,25058.89,87,10.8,1080.8,796.2,100,GLM,48.15
290.4,0,96.2,,0,298,9.4,961.2,865,3,GLM,22.5
290.4,0,96.2,168.1,28257.61,65,9.4,961.2,865,14,GLM,34.67
290.4,0,96.2,168.1,28257.61,252,9.4,961.2,865,28,GA,34.74
290.4,0,96.2,168.1,28257.61,208,9.4,961.2,865,56,GA,45.08
290.4,0,96.2,168.1,28257.61,23,9.4,961.2,865,100,GA,48.97
277.1,0,97.4,160.6,25792.36,86,11.8,973.9,875.6,3,GA,23.14
277.1,0,97.4,160.6,25792.36,246,11.8,973.9,875.6,14,GA,41.89
277.1,0,97.4,160.6,25792.36,300,11.8,973.9,875.6,28,GLM,48.28
277.1,0,97.4,160.6,25792.36,264,11.8,973.9,875.6,56,GLM,51.04
277.1,0,97.4,160.6,25792.36,270,11.8,973.9,875.6,100,GA,55.64
295.7,0,95.6,171.5,29412.25,239,8.9,955.1,859.2,3,GA,22.95
295.7,0,95.6,171.5,29412.25,117,8.9,955.1,859.2,14,GA,35.23
295.7,0,95.6,171.5,29412.25,315,8.9,955.1,859.2,28,GA,39.94
295.7,0,95.6,171.5,29412.25,123,8.9,955.1,859.2,56,GA,48.72
295.7,0,95.6,171.5,29412.25,260,8.9,955.1,859.2,100,GLM,52.04
251.8,0,99.9,146.1,21345.21,312,12.4,1006,899.8,3,GLM,21.02
251.8,0,99.9,146.1,21345.21,325,12.4,1006,899.8,14,GLM,33.36
251.8,0,99.9,146.1,21345.21,235,12.4,1006,899.8,28,GA,33.94
251.8,0,99.9,146.1,21345.21,178,12.4,1006,899.8,56,GA,44.14
251.8,0,99.9,146.1,21345.21,112,12.4,1006,899.8,100,GLM,45.37
249.1,0,98.8,158.1,24995.61,56,12.8,987.8,889,3,GA,15.36
249.1,0,98.8,158.1,24995.61,281,12.8,987.8,889,14,GLM,28.68
249.1,0,98.8,158.1,24995.61,260,12.8,987.8,889,28,GA,30.85
249.1,0,98.8,158.1,24995.61,309,12.8,987.8,889,56,GLM,42.03
249.1,0,98.8,158.1,24995.61,244,12.8,987.8,889,100,GA,51.06
252.3,0,98.8,146.3,21403.69,327,14.2,987.8,889,3,GLM,21.78
252.3,0,98.8,146.3,21403.69,301,14.2,987.8,889,14,GLM,42.29
252.3,0,98.8,146.3,21403.69,323,14.2,987.8,889,28,GLM,50.6
252.3,0,98.8,146.3,21403.69,295,14.2,987.8,889,56,GLM,55.83
252.3,0,98.8,146.3,21403.69,52,14.2,987.8,889,100,GLM,60.95
246.8,0,125.1,143.3,20534.89,125,12,1086.8,800.9,3,GLM,23.52
246.8,0,125.1,143.3,20534.89,244,12,1086.8,800.9,14,GLM,42.22
246.8,0,125.1,143.3,20534.89,31,12,1086.8,800.9,28,GA,52.5
246.8,0,125.1,143.3,20534.89,234,12,1086.8,800.9,56,GA,60.32
246.8,0,125.1,143.3,20534.89,212,12,1086.8,800.9,100,GA,66.42
275.1,0,121.4,159.5,25440.25,251,9.9,1053.6,777.5,3,GLM,23.8
275.1,0,121.4,159.5,25440.25,66,9.9,1053.6,777.5,14,GLM,38.77
275.1,0,121.4,159.5,25440.25,329,9.9,1053.6,777.5,28,GA,51.33
275.1,0,121.4,159.5,25440.25,156,9.9,1053.6,777.5,56,GLM,56.85
275.1,0,121.4,159.5,25440.25,206,9.9,1053.6,777.5,100,GA,58.61
297.2,0,117.5,174.8,30555.04,151,9.5,1022.8,753.5,3,GLM,21.91
297.2,0,117.5,174.8,30555.04,283,9.5,1022.8,753.5,14,GA,36.99
297.2,0,117.5,174.8,30555.04,165,9.5,1022.8,753.5,28,GLM,47.4
297.2,0,117.5,174.8,30555.04,284,9.5,1022.8,753.5,56,GA,51.96
297.2,0,117.5,174.8,30555.04,218,9.5,1022.8,753.5,100,GLM,56.74
213.7,0,174.7,154.8,23963.04,191,10.2,1053.5,776.4,3,GLM,17.57
213.7,0,174.7,154.8,23963.04,49,10.2,1053.5,776.4,14,GLM,33.73
213.7,0,174.7,154.8,23963.04,73,10.2,1053.5,776.4,28,GA,40.15
213.7,0,174.7,154.8,23963.04,280,10.2,1053.5,776.4,56,GA,46.64
213.7,0,174.7,154.8,23963.04,233,10.2,1053.5,776.4,100,GLM,50.08
213.5,0,174.2,154.6,23901.16,154,11.7,1052.3,775.5,3,GLM,17.37
213.5,,174.2,154.6,23901.16,218,11.7,1052.3,775.5,14,GLM,33.7
213.5,0,174.2,154.6,23901.16,257,11.7,1052.3,775.5,28,GLM,45.94
